iter	Passed	Remaining
512	718	681
513	718	679
514	719	677
515	720	675
516	721	673
517	722	671
518	723	670
519	723	668
520	724	666
521	725	664
522	726	662
523	727	660
524	727	658
525	728	656
526	729	655
527	730	653
528	731	651
529	732	649
530	733	647
531	734	645
532	735	644
533	735	642
534	736	640
535	737	638
536	738	636
537	739	634
538	740	633
539	740	631
540	741	629
541	742	627
542	743	625
543	744	624
544	745	622
545	746	620
546	747	619
547	748	617
548	749	615
549	750	613
550	751	612
551	752	610
552	752	608
553	753	606
554	754	605
555	755	603
556	756	601
557	757	599
558	757	597
559	758	596
560	759	594
561	760	592
562	761	590
563	762	589
564	762	587
565	763	585
566	764	583
567	765	582
568	766	580
569	767	579
570	768	577
571	769	576
572	770	574
573	771	572
574	772	570
575	773	569
576	774	567
577	775	565
578	776	564
579	776	562
580	777	560
581	778	559
582	779	557
583	780	555
584	781	554
585	781	552
586	782	550
587	783	549
588	784	547
589	785	545
590	786	544
591	787	542
592	787	540
593	788	539
594	789	537
595	790	535
596	791	534
597	792	532
598	793	531
599	794	529
600	795	528
601	796	526
602	797	524
603	798	523
604	798	521
605	799	519
606	800	518
607	801	516
608	802	515
609	803	513
610	803	511
611	804	510
612	805	508
613	806	507
614	807	505
615	808	504
616	809	502
617	810	501
618	811	499
619	812	498
620	813	496
621	814	495
622	815	493
623	816	492
624	817	490
625	818	488
626	819	487
627	820	485
628	821	484
629	822	482
630	823	481
631	824	479
632	825	478
633	825	476
634	826	475
635	827	473
636	828	472
637	829	470
638	829	468
639	830	467
640	831	465
641	832	464
642	833	462
643	834	461
644	835	459
645	837	458
646	838	457
647	839	455
648	840	454
649	841	453
650	842	451
651	843	450
652	844	448
653	845	447
654	846	445
655	847	444
656	849	443
657	850	441
658	851	440
659	852	438
660	853	437
661	854	436
662	855	434
663	856	433
664	857	431
665	858	430
666	859	429
667	860	427
668	861	426
669	862	424
670	863	423
671	864	421
672	865	420
673	866	418
674	867	417
675	868	416
676	869	414
677	870	413
678	871	412
679	872	410
680	873	409
681	874	407
682	876	406
683	877	405
684	878	403
685	879	402
686	880	401
687	881	399
688	882	398
689	883	396
690	884	395
691	885	394
692	886	392
693	887	391
694	888	389
695	889	388
696	890	387
697	892	386
698	893	384
699	894	383
700	895	382
701	896	380
702	897	379
703	899	378
704	899	376
705	900	375
706	901	373
707	902	372
708	904	371
709	905	369
710	906	368
711	907	366
712	908	365
713	909	364
714	910	363
715	911	361
716	912	360
717	913	358
718	915	357
719	916	356
720	918	355
721	919	354
722	921	352
723	922	351
724	923	350
725	924	348
726	925	347
727	926	346
728	927	344
729	928	343
730	929	342
731	931	340
732	932	339
733	933	338
734	934	336
735	935	335
736	936	334
737	938	333
738	939	331
739	940	330
740	941	329
741	942	327
742	943	326
743	944	325
744	946	323
745	947	322
746	948	321
747	950	320
748	951	319
749	953	317
750	955	316
751	956	315
752	957	314
753	958	312
754	960	311
755	961	310
756	962	308
757	963	307
758	964	306
759	966	305
760	967	303
761	968	302
762	970	301
763	971	299
764	972	298
765	973	297
766	974	295
767	975	294
768	976	293
769	977	291
770	978	290
771	979	289
772	980	288
773	982	286
774	983	285
775	984	284
776	986	283
777	987	281
778	988	280
779	989	279
780	990	277
781	991	276
782	993	275
783	994	273
784	995	272
785	996	271
786	997	269
787	998	268
788	999	267
789	1000	265
790	1001	264
791	1002	263
792	1003	261
793	1004	260
794	1005	259
795	1006	257
796	1007	256
797	1008	255
798	1009	253
799	1009	252
800	1010	251
801	1011	249
802	1012	248
803	1013	247
804	1014	245
805	1015	244
806	1016	243
807	1017	241
808	1018	240
809	1018	238
810	1019	237
811	1020	236
812	1021	234
813	1022	233
814	1023	232
815	1024	230
816	1025	229
817	1025	228
818	1026	226
819	1027	225
820	1028	224
821	1029	222
822	1030	221
823	1031	220
824	1031	218
825	1032	217
826	1033	216
827	1034	214
828	1035	213
829	1036	212
830	1037	210
831	1038	209
832	1039	208
833	1039	206
834	1040	205
835	1041	204
836	1042	203
837	1043	201
838	1044	200
839	1044	199
840	1045	197
841	1046	196
842	1047	195
843	1048	193
844	1048	192
845	1049	191
846	1050	189
847	1051	188
848	1052	187
849	1053	185
850	1054	184
851	1055	183
852	1055	181
853	1056	180
854	1057	179
855	1058	178
856	1059	176
857	1060	175
858	1060	174
859	1061	172
860	1062	171
861	1063	170
862	1064	168
863	1065	167
864	1065	166
865	1066	165
866	1067	163
867	1068	162
868	1069	161
869	1070	159
870	1071	158
871	1072	157
872	1073	156
873	1074	154
874	1075	153
875	1075	152
876	1076	151
877	1077	149
878	1078	148
879	1079	147
880	1080	145
881	1080	144
882	1081	143
883	1082	142
884	1084	140
885	1084	139
886	1085	138
887	1086	137
888	1087	135
889	1088	134
890	1089	133
891	1089	131
892	1090	130
893	1091	129
894	1092	128
895	1093	126
896	1094	125
897	1095	124
898	1095	123
899	1096	121
900	1097	120
901	1099	119
902	1099	118
903	1100	116
904	1101	115
905	1102	114
906	1103	113
907	1104	111
908	1104	110
909	1105	109
910	1106	108
911	1107	106
912	1108	105
913	1109	104
914	1109	103
915	1110	101
916	1111	100
917	1112	99
918	1113	98
919	1114	96
920	1115	95
921	1116	94
922	1117	93
923	1118	91
924	1119	90
925	1120	89
926	1120	88
927	1121	87
928	1122	85
929	1123	84
930	1124	83
931	1125	82
932	1125	80
933	1126	79
934	1127	78
935	1128	77
936	1129	75
937	1130	74
938	1131	73
939	1131	72
940	1132	71
941	1133	69
942	1134	68
943	1135	67
944	1136	66
945	1137	64
946	1137	63
947	1138	62
948	1139	61
949	1140	60
950	1141	58
951	1142	57
952	1143	56
953	1144	55
954	1144	53
955	1145	52
956	1146	51
957	1147	50
958	1148	49
959	1149	47
960	1149	46
961	1150	45
962	1151	44
963	1152	43
964	1153	41
965	1154	40
966	1154	39
967	1155	38
968	1156	36
969	1157	35
970	1158	34
971	1159	33
972	1160	32
973	1161	30
974	1161	29
975	1162	28
976	1163	27
977	1164	26
978	1165	24
979	1166	23
980	1166	22
981	1167	21
982	1168	20
983	1169	19
984	1170	17
985	1171	16
986	1171	15
987	1172	14
988	1173	13
989	1174	11
990	1175	10
991	1176	9
992	1177	8
993	1177	7
994	1178	5
995	1179	4
996	1180	3
997	1181	2
998	1182	1
999	1183	0
